event_timestamp,channel,messagetype,eventID,process_group,marketRoleCode,event_count
2024-12-31T00:00:00.000Z,B2B,F01,DH-111-1,DH-100,DDQ,1593
2024-12-31T00:00:00.000Z,B2B,F02,DH-131-1,DH-100,DDQ,892
2024-12-31T00:00:00.000Z,B2B,F03,DH-132-1,DH-100,DDQ,26946
2024-12-31T00:00:00.000Z,B2B,F04,DH-311-1,DH-300,DDQ,2231
2024-12-31T00:00:00.000Z,B2B,F04,DH-321-1,DH-300,DDQ,2169
2024-12-31T00:00:00.000Z,B2B,F06,DH-331-1,DH-300,DDQ,40
2024-12-31T00:00:00.000Z,B2B,F12,DH-721-1,DH-700,DDQ,2
2024-12-31T00:00:00.000Z,B2B,MSG.PRC,MSG.PRC,Other B2B events,DDQ,35
2024-12-31T00:00:00.000Z,B2B,E58,DH-122-1,DH-100,DSO,643
2024-12-31T00:00:00.000Z,B2B,E66,DH-211,DH-200,DSO,7939
2024-12-31T00:00:00.000Z,B2B,F01,DH-112-1,DH-100,DSO,1874
2024-12-31T00:00:00.000Z,B2B,F03,DH-134-1,DH-100,DSO,810
2024-12-31T00:00:00.000Z,B2B,F04,DH-312-1,DH-300,DSO,489
2024-12-31T00:00:00.000Z,B2B,F04,DH-322-1,DH-300,DSO,1647
2024-12-31T00:00:00.000Z,B2B,F06,DH-333-1,DH-300,DSO,39
2024-12-31T00:00:00.000Z,B2B,F09,DH-412-1,DH-400,DSO,25
2024-12-31T00:00:00.000Z,B2B,F09,DH-422-1,DH-400,DSO,1
2024-12-31T00:00:00.000Z,B2B,F02,DH-131-1,DH-100,THP,12
2024-12-31T00:00:00.000Z,B2B,F03,DH-135-1,DH-100,THP,2
2024-12-31T00:00:00.000Z,B2B,F08,DH-22x,Other B2B events,THP,654
2024-12-31T00:00:00.000Z,B2B,F15,DH-812,DH-800,THP,21
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve AccountingPoints,Customer Access Portal,CAP,45
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Agreement Mutations,Customer Access Portal,CAP,3
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Agreements,Customer Access Portal,CAP,23
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Configuration Parameters,Customer Access Portal,CAP,24
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Customer Mutations,Customer Access Portal,CAP,3
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Customers,Customer Access Portal,CAP,25
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Organisations,Customer Access Portal,CAP,11
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,RetrieveAuthorisationData,Customer Access Portal,CAP,12
2024-12-31T00:00:00.000Z,CAP,CustomerAccessRequest,RetrieveTimeSeriesData,Customer Access Portal,CAP,39
2024-12-31T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,DDQ,3
2024-12-31T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,DDQ,2633
2024-12-31T00:00:00.000Z,DIF,GetAccountingPointData,DH-1000,DH-1000,DSO,13
2024-12-31T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,DSO,22
2024-12-31T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,DSO,541
2024-12-31T00:00:00.000Z,DIF,GetAccountingPointData,DH-1000,DH-1000,THP,276
2024-12-31T00:00:00.000Z,DIF,GetAuthorisationData,DH-1003,DH-1000,THP,49
2024-12-31T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,THP,514
2024-12-31T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,THP,2221
2025-01-01T00:00:00.000Z,B2B,F01,DH-111-1,DH-100,DDQ,3180
2025-01-01T00:00:00.000Z,B2B,F02,DH-131-1,DH-100,DDQ,25304
2025-01-01T00:00:00.000Z,B2B,F03,DH-132-1,DH-100,DDQ,41814
2025-01-01T00:00:00.000Z,B2B,F03,DH-133-1,DH-100,DDQ,1
2025-01-01T00:00:00.000Z,B2B,F04,DH-311-1,DH-300,DDQ,1409
2025-01-01T00:00:00.000Z,B2B,F04,DH-321-1,DH-300,DDQ,5196
2025-01-01T00:00:00.000Z,B2B,F06,DH-331-1,DH-300,DDQ,234
2025-01-01T00:00:00.000Z,B2B,F06,DH-332-1,DH-300,DDQ,7
2025-01-01T00:00:00.000Z,B2B,F06,DH-351-1,DH-300,DDQ,5
2025-01-01T00:00:00.000Z,B2B,F08,DH-22x,Other B2B events,DDQ,1361
2025-01-01T00:00:00.000Z,B2B,F09,DH-421-1,DH-400,DDQ,126
2025-01-01T00:00:00.000Z,B2B,F09,DH-424-1,DH-400,DDQ,2
2025-01-01T00:00:00.000Z,B2B,F12,DH-721-1,DH-700,DDQ,54
2025-01-01T00:00:00.000Z,B2B,F18,DH-341-1,DH-300,DDQ,6
2025-01-01T00:00:00.000Z,B2B,MSG.PRC,MSG.PRC,Other B2B events,DDQ,19
2025-01-01T00:00:00.000Z,B2B,MSG.UNK,MSG.UNK,Other B2B events,DDQ,29
2025-01-01T00:00:00.000Z,B2B,E58,DH-121,DH-100,DSO,1
2025-01-01T00:00:00.000Z,B2B,E58,DH-122-1,DH-100,DSO,2372
2025-01-01T00:00:00.000Z,B2B,E58,DH-125-1,DH-100,DSO,158
2025-01-01T00:00:00.000Z,B2B,E58,DH-126-1,DH-100,DSO,1
2025-01-01T00:00:00.000Z,B2B,E66,DH-211,DH-200,DSO,41666
2025-01-01T00:00:00.000Z,B2B,F01,DH-112-1,DH-100,DSO,1001
2025-01-01T00:00:00.000Z,B2B,F03,DH-134-1,DH-100,DSO,99
2025-01-01T00:00:00.000Z,B2B,F04,DH-312-1,DH-300,DSO,742
2025-01-01T00:00:00.000Z,B2B,F04,DH-322-1,DH-300,DSO,2359
2025-01-01T00:00:00.000Z,B2B,F06,DH-333-1,DH-300,DSO,221
2025-01-01T00:00:00.000Z,B2B,F06,DH-352-1,DH-300,DSO,4
2025-01-01T00:00:00.000Z,B2B,F08,DH-22x,Other B2B events,DSO,54
2025-01-01T00:00:00.000Z,B2B,F09,DH-412-1,DH-400,DSO,509
2025-01-01T00:00:00.000Z,B2B,F09,DH-413-1,DH-400,DSO,1
2025-01-01T00:00:00.000Z,B2B,F09,DH-422-1,DH-400,DSO,1528
2025-01-01T00:00:00.000Z,B2B,F09,DH-423-1,DH-400,DSO,1
2025-01-01T00:00:00.000Z,B2B,F10,DH-522,DH-500,DSO,1
2025-01-01T00:00:00.000Z,B2B,F18,DH-342-1,DH-300,DSO,5
2025-01-01T00:00:00.000Z,B2B,MSG.PRC,MSG.PRC,Other B2B events,DSO,1
2025-01-01T00:00:00.000Z,B2B,F02,DH-131-1,DH-100,THP,118
2025-01-01T00:00:00.000Z,B2B,F02,DH-22x,Other B2B events,THP,512
2025-01-01T00:00:00.000Z,B2B,F02,DH-812,DH-800,THP,951
2025-01-01T00:00:00.000Z,B2B,F03,DH-135-1,DH-100,THP,390
2025-01-01T00:00:00.000Z,B2B,F08,DH-22x,Other B2B events,THP,773
2025-01-01T00:00:00.000Z,B2B,F08,DH-812,DH-800,THP,66
2025-01-01T00:00:00.000Z,B2B,F15,DH-812,DH-800,THP,201
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve AccountingPoints,Customer Access Portal,CAP,5136
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Agreement Mutations,Customer Access Portal,CAP,154
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Agreements,Customer Access Portal,CAP,3240
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Authorisation Mutations,Customer Access Portal,CAP,3
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Configuration Parameters,Customer Access Portal,CAP,2856
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Customer Mutations,Customer Access Portal,CAP,79
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Customers,Customer Access Portal,CAP,3199
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,Retrieve Organisations,Customer Access Portal,CAP,1654
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,RetrieveAuthorisationData,Customer Access Portal,CAP,1717
2025-01-01T00:00:00.000Z,CAP,CustomerAccessRequest,RetrieveTimeSeriesData,Customer Access Portal,CAP,6843
2025-01-01T00:00:00.000Z,CAP,F15,CAP.AUT.CRE.CUS,Customer Access Portal,CAP,180
2025-01-01T00:00:00.000Z,DIF,GetAccountingPointData,DH-1000,DH-1000,DDQ,1514
2025-01-01T00:00:00.000Z,DIF,GetContractData,DH-1001,DH-1000,DDQ,231
2025-01-01T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,DDQ,1451
2025-01-01T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,DDQ,35172
2025-01-01T00:00:00.000Z,DIF,MSG.PRC,MSG.PRC,Other DIF events,DDQ,2
2025-01-01T00:00:00.000Z,DIF,GetAccountingPointData,DH-1000,DH-1000,DSO,1510
2025-01-01T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,DSO,1453
2025-01-01T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,DSO,28431
2025-01-01T00:00:00.000Z,DIF,GetAccountingPointData,DH-1000,DH-1000,THP,6682
2025-01-01T00:00:00.000Z,DIF,GetAuthorisationData,DH-1003,DH-1000,THP,468
2025-01-01T00:00:00.000Z,DIF,GetCustomerData,DH-1005,DH-1000,THP,14267
2025-01-01T00:00:00.000Z,DIF,GetTimeseriesData,DH-1002,Other DIF events,THP,59827
2025-01-01T00:00:00.000Z,DIF,MSG.PRC,MSG.PRC,Other DIF events,THP,1
2025-01-01T00:00:00.000Z,GUI,Process Message,List Sales Agreement,Other GUI events,DDQ,2
2025-01-01T00:00:00.000Z,GUI,Process Message,Retrieve Accounting Point,Other GUI events,DDQ,1
2025-01-01T00:00:00.000Z,GUI,Process Message,Retrieve Sales Agreement,Other GUI events,DDQ,2
2025-01-01T00:00:00.000Z,GUI,Process Message,Search Accounting Point,Other GUI events,DDQ,22
2025-01-01T00:00:00.000Z,GUI,Process Message,ETS.LST.GUI,Other GUI events,DSO,2
2025-01-01T00:00:00.000Z,GUI,Process Message,List Exchange Point,Other GUI events,DSO,1
2025-01-01T00:00:00.000Z,GUI,Process Message,Retrieve Exchange Point,Other GUI events,DSO,1
2025-01-01T00:00:00.000Z,GUI,Process Message,Retrieve Time Series,Other GUI events,DSO,1
2025-01-02T00:00:00.000Z,B2B,E58,DH-124-1,DH-100,DDQ,5
2025-01-02T00:00:00.000Z,B2B,F01,DH-111-1,DH-100,DDQ,5812
2025-01-02T00:00:00.000Z,B2B,F02,DH-131-1,DH-100,DDQ,45953
2025-01-02T00:00:00.000Z,B2B,F03,DH-132-1,DH-100,DDQ,11064
2025-01-02T00:00:00.000Z,B2B,F04,DH-311-1,DH-300,DDQ,6010
2025-01-02T00:00:00.000Z,B2B,F04,DH-321-1,DH-300,DDQ,8484
2025-01-02T00:00:00.000Z,B2B,F04,DH-331-1,DH-300,DDQ,50
