eventID,DescriptionEN
0,Unknown
ACP.PRP.HST,Search Accounting Point History
AGR.CNF.GRD,Grid Agreement Confirmation (DH-312)
AGR.CRE.EXP.REQ,New metering point authorisation request
AGR.CRE.PRU.REQ,New metering point authorisation request
AGR.RTR.GRD,Grid Agreement Retrieve
AGR.RTR.SLS,Sales Agreement Retrieve
AGR.UPD.EXP.REQ,Update Metering Point Authorisation request
BMS.LST,Search Business Messages
BTD.RSM,Retrieve BTD Step Messages
CAP.AUT.CRE.CUS,Process New Customer Authorisation Request With MeteringPointEAN
CAP.CUS.PVC,Update Customer Restricted Info
Create Organisation Address,Create Organisation Address
Create Organisation Contact,Create Organisation Contact
Create Portal User Identity,Create Portal User Identity
Create Scheduled Job Template,Create Scheduled Job Template
Create Scheduled Job Template Accounting Points where the consumption quota is exceeded Report,Create Scheduled Job Template Accounting Points where the consumption quota is exceeded Report
Create Scheduled Job Template Agreement and Invoice Address Control Report,Create Scheduled Job Template Agreement and Invoice Address Control Report
Create Scheduled Job Template Agreement Contacts Control Report,Create Scheduled Job Template Agreement Contacts Control Report
Create Scheduled Job Template Agreement Customer Relations Control Report,Create Scheduled Job Template Agreement Customer Relations Control Report
Create Scheduled Job Template Agreement Product Relations Control Report,Create Scheduled Job Template Agreement Product Relations Control Report
Create Scheduled Job Template Balance Data Validity Control Report,Create Scheduled Job Template Balance Data Validity Control Report
Create Scheduled Job Template balance settlement connections Control Report,Create Scheduled Job Template balance settlement connections Control Report
Create Scheduled Job Template Customer Control Report,Create Scheduled Job Template Customer Control Report
Create Scheduled Job Template Imbalance Settlement Metering Grid Areas Control Report,Create Scheduled Job Template Imbalance Settlement Metering Grid Areas Control Report
Create Scheduled Job Template Imbalance Settlement Metering Points Control Report,Create Scheduled Job Template Imbalance Settlement Metering Points Control Report
Create Scheduled Job Template Invoicing Control Report,Create Scheduled Job Template Invoicing Control Report
Create Scheduled Job Template Master Data for Energy Community Ownership report,Create Scheduled Job Template Master Data for Energy Community Ownership report
Create Scheduled Job Template Metering Point Adresses Control Report,Create Scheduled Job Template Metering Point Adresses Control Report
Create Scheduled Job Template Metering Point Control Report,Create Scheduled Job Template Metering Point Control Report
Create Scheduled Job Template Metering Point Devices  Control Report,Create Scheduled Job Template Metering Point Devices  Control Report
Create Scheduled Job Template Settlement Control Report,Create Scheduled Job Template Settlement Control Report
Create Scheduled Job Template TS data per ACP report,Create Scheduled Job Template TS data per ACP report
Create System User Identity,Create System User Identity
CreateOrganisationUser,CreateOrganisationUser
CUS.PRP.HST,Search Customer History
Delete Organisation Address,Delete Organisation Address
Delete Portal User Identity,Delete Portal User Identity
DeleteOrganisationUser,DeleteOrganisationUser
DH-1000,Get Accounting Point Data Request (DH-1000)
DH-1001,Get Contract Data Request (DH-1001)
DH-1002,Get Time Series Data
DH-1003,Get Authorisation Data Request (DH-1003)
DH-1005,Get Customer Data Request (DH-1005)
DH-1006,Get Organisation Data Request (DH-1006)
DH-111-1,Customer Information Update
DH-112-1,Customer Information Update Request - DSO
DH-121,New Accounting Point
DH-122-1,Accounting Point Data Update
DH-123,Accounting Point Deletion
DH-124-1,Accounting Point Data Update Request
DH-125-1,Metering Time Step Update
DH-126,Create Accounting Point Relation Request
DH-126-1,Create Accounting Point Relation Request
DH-127,End Accounting Point Relation Request
DH-127-1,End Accounting Point Relation Request
DH-131-1,Accounting Point Identification Request
DH-132-1,Accounting Point and Customer Information Request - Current Supplier
DH-133-1,Accounting Point and Customer Information Request - New Supplier
DH-134-1,Accounting Point and Customer Information Request - DSO
DH-135-1,Accounting Point and Customer Information Request - 3rd Party
DH-141,Create Energy Community Request
DH-142,Update Energy Community Request
DH-143,End Energy Community Request
DH-211,Metering Data Report
DH-22x,Metering Data Request
DH-311-1,Notification of a New Agreement
DH-311-11,Additional Sales Agreement Information Request
DH-311-14,Confirm Sales Agreement Request
DH-312-1,Grid Agreement Confirmation
DH-321-1,Sales Agreement Information Update
DH-322-1,Grid Agreement Information Update
DH-331-1,Notification of Sales Agreement End
DH-332-1,Notification of Customer Moving Out by New Supplier
DH-333-1,Notification of Grid Agreement End
DH-341-1,Notification of Sales Agreement Cancellation
DH-342-1,Notification of Grid Agreement Cancellation
DH-343-1,Notification of Refusal of Sales Agreement Restore by Former Supplier
DH-344-1,Notification of Grid Agreement End in the Case of Cancellation
DH-351-1,Cancellation of Sales Agreement End Request
DH-352-1,Cancellation of Grid Agreement End Request
DH-411-1,Supply Connection Request
DH-412-1,Notification of Supply Connection
DH-413-1,Notification of Connection Delay
DH-414-1,Cancellation of Connection Request
DH-421-1,Supply Disconnection Request
DH-422-1,Notification of Supply Disconnection
DH-423-1,Notification of Disonnection Delay
DH-424-1,Cancellation of Disconnection Request
DH-521,Imbalance Settlement Data Request - Supplier
DH-522,Imbalance Settlement Data Request - DSO
DH-711,Create Product Data - Supplier
DH-712,Create Product Data - DSO
DH-713,Update Product Price Info - Supplier
DH-713-1,Update Product Price Info - Supplier
DH-714,Update Product Price Info - DSO
DH-714-1,Update Product Price Info - DSO
DH-716,Update Product Time Series - DSO
DH-718,Update Product Structural Data - DSO
DH-721-1,Product Structural Data Request - Supplier
DH-722-1,Product Structural Data Request - DSO
DH-724-1,Product Time Series Data Request - Supplier
DH-732-1,Invoice Row Data Report – DSO
DH-742-1,Invoice Row Data Request - DSO
DH-811,Notification of Customer Authorisation - Supplier
DH-812,Notification of Customer Authorisation - 3rd Party
DH-813,Notification of Customer Authorisation - DSO
DH-820,New Customer Authorisation by Customer
DH-921-1,Party Information Request - Supplier
DH-922-1,Party Information Request - DSO
ETS.LST.GUI,Retrieve Energy Time Series UI
ETS.OBS.RTR,Get Observations
ETS.SUI,Submit Meter Data UI
EXP.CRE.REQ,New exchange point request
EXP.UPD.DOT.REQ,Exchange Point Update - Direction of Transfer request
EXP.UPD.REQ,Update exchange point request
Get Average Consumption,Get Average Consumption
IVR.LST,Invoice Row List
IVR.LST.PRE,Pre Invoice Row List
List Customer,List Customer
List Energy Communities,List Energy Communities
List Exchange Point,List Exchange Point
List Grid Agreement,List Grid Agreement
List Message Delegations,List Message Delegations
List Metering Grid Area,List Metering Grid Area
List Organisations,List Organisations
List Party Authorisation,List Party Authorisation
List Portal User Identities,List Portal User Identities
List Product,List Product
List Production Unit,List Production Unit
List report runs,List Report Runs
List Sales Agreement,List Sales Agreement
List Sent Emails,List Sent Emails
List System User Identities,List System User Identities
ListBusinessMessages,ListBusinessMessages
ListOrganisationUser,ListOrganisationUser
MGA.UPD.IOS.REQ,Update imbalance open supplier request
